ItemID	Response
1432	<![CDATA[I agree with the claim. The fine system escaltes for repeat offenses instead of just remaining at a flat rate. ]]>
1434	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><Object><PointVector>{(135,95)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(165,125)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(195,155)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(225,185)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(255,215)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(285,245)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(345,305)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(375,335)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(315,275)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object></ObjectSet><SnapPoint></SnapPoint></QuestionPart></Question></AnswerSet>]]>
1793	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value><value>2 b</value><value>3 a</value></response></itemResponse>]]>
1825	<![CDATA[A,B,C]]>
1827	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 b</value><value>3 a</value></response></itemResponse>]]>
1832	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="\frac{64}{12}"><mstyle><mfrac><mrow><mn>64</mn></mrow><mrow><mn>12</mn></mrow></mfrac></mstyle></math></response>]]>
1835	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="-3.7"><mstyle><mo>-</mo><mn>3.7</mn></mstyle></math></response>]]>
1838	<![CDATA[A]]>
1839	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="25"><mstyle><mn>25</mn></mstyle></math></response>]]>
1840	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="110.25"><mstyle><mn>110.25</mn></mstyle></math></response>]]>
1842	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 a</value><value>3 b</value><value>4 b</value></response></itemResponse>]]>
1844	<![CDATA[D]]>
1873	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 a</value></response></itemResponse>]]>
1873	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 a</value><value>3 b</value><value>4 a</value><value>5 a</value></response></itemResponse>]]>
1876	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><RegionGroupObject name="Reg1" numselected="1"><RegionObject name="A1" isselected="false"/><RegionObject name="A2" isselected="false"/><RegionObject name="A3" isselected="false"/><RegionObject name="A4" isselected="false"/><RegionObject name="A5" isselected="false"/><RegionObject name="A6" isselected="true"/><RegionObject name="A7" isselected="false"/><RegionObject name="A8" isselected="false"/><RegionObject name="A9" isselected="false"/><RegionObject name="A10" isselected="false"/></RegionGroupObject></ObjectSet><SnapPoint></SnapPoint></QuestionPart></Question></AnswerSet>]]>
1881	<![CDATA[A]]>
1881	<![CDATA[C]]>
