InstitutionIdentifier,ElectronicMailAddress,StudentGroupName,StudentIdentifier,StateAbbreviation,ResponsibleDistrictIdentifier,Delete
{RII},{EMAIL},IRPStudentGroup,IRP39990001,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990002,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990003,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990004,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990005,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990006,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990007,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990008,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990009,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990010,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990011,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP39990012,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990001,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990002,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990003,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990004,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990005,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990006,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990007,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990008,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990009,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990010,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990011,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP79990012,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990001,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990002,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990003,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990004,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990005,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990006,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990007,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990008,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990009,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990010,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990011,{SA},{RDI},{DELETE}
{RII},{EMAIL},IRPStudentGroup,IRP119990012,{SA},{RDI},{DELETE}
